topic_index,pop_idx,tokens
0,0.0039547578271372456,scientist research studi cell gene use human genet scientif experi test dna
1,0.0030536588294908336,maxim sprint glenn million job verif hubbard nec romney protect creat campaign
2,0.012587504025851294,polic offic man cop uniform depart ask forc set told friend anoth
3,0.0015168621430389287,ren poland polish warsaw razor skycom factori gillett govern million author countri
4,0.0038348422037059356,qi autonom bella blackberri heng say orphan work cnr help run moguji
5,0.007459433865693145,confer forum attend deleg particip nation unit speech gather meet world organ
6,0.006247001492904392,car driver truck road traffic vehicl drive highway beij citi plate transport
7,0.007471770292801242,north korea korean south seoul pyongyang offici talk beij kim nuclear state
8,0.0023156195093552994,porcelain black glaze bicycl sword blue like cyclist connoisseur pedal floral tang
9,0.014001946278147706,republican democrat presidenti candid campaign romney presid obama polit polici debat senat
10,0.001289519660164657,corp volunt peac parol castl medic pollard sergeant jailer agenc john physic
11,0.00753541796368322,profit compani earn share revenu quarter billion cent rose report analyst expect
12,0.0037115978202131705,wenzhou xiamen citi busi mihalca peopl kamski hogg resid like merril entrepreneur
13,0.006552203812216353,counti jersey murray univers say state area use compani auburn colleg job
14,0.0032213924137124927,guangdong guangzhou southern provinc citi dongguan offici provinci southeastern govern mani econom
15,0.001502003467967026,sheng ticket clp saito ozawa cartier apac barker richemont pocket wristwatch time
16,0.009486781277285711,shirk say make tile play home set melissa game mahjong susan differ
17,0.014839561115637109,peopl kill storm flood offici sunday news report agenc citi monday typhoon
18,0.005153225272823193,fell drop index stock europ slid shed declin market bnp worri bank
19,0.005993708259335342,birth child polici famili women children coupl babi popul girl plan mani
20,0.004952055249450602,choi organ consum import feed product like produc niec food suppli say
21,0.0015935303168670351,houston miami mummi mair archaeologist paramount tarim baron corps whitney basin beauti
22,0.0006633222412780695,cave desert cliff dunhuang gobi sand mural getti gansu warner buddha carv
23,0.00018340168825068333,tribe drywal penn rug ivan delicaci geoduck shellfish clam stone rosetta homeown
24,0.009340874521441913,hong kong democraci beij freedom peopl democrat protest support govern right state
25,0.0011158399954012607,ken forb column record fear fisher guin heinz richest view author isaacson
26,0.008189124299619785,fabric garment cloth shirt say ching sew pant apparel make manufactur yarn
27,0.003868748292633234,microsoft compani softwar window million product comput maker lcd american sinovel technolog
28,0.0009063222571795676,curri chou prefectur cancel yushu inund kean frog billboard offici jiegu district
29,0.05567477571471488,china year chines growth economi new econom invest slow like mani economist
30,0.012653679311714728,european europ eu germani german union franc commiss brussel countri euro minist
31,0.003916412176653667,nation worker mani job number work huizhou report accord phuket million striker
32,0.008155251732695256,chopstick say carpent ad market american busi angolan day mani luanda street
33,0.004495375657913207,wang yi turtl say like ash use make small start known earli
